,word,num_syllables,syllables,stress_pattern,infixed
0,TIBER,2,"['Ti', 'ber']","[['Ti', '1'], ['ber', '0']]",ti-diddly-iber
1,TICKER,2,"['tick', 'er']","[['tick', '1'], ['er', '0']]",tick-diddly-icker
2,TICKET,2,"['tick', 'et']","[['tick', '1'], ['et', '0']]",tick-diddly-icket
3,TICKETS,2,"['tick', 'ets']","[['tick', '1'], ['ets', '0']]",tick-diddly-ickets
4,TICKING,2,"['tick', 'ing']","[['tick', '1'], ['ing', '0']]",tick-diddly-icking
5,TICKLE,2,"['tick', 'le']","[['tick', '1'], ['le', '0']]",tick-diddly-ickle
6,TICKLED,2,"['tick', 'led']","[['tick', '1'], ['led', '0']]",tick-diddly-ickled
7,TICKNOR,2,"['Tick', 'nor']","[['Tick', '1'], ['nor', '0']]",tick-diddly-icknor
8,TIDAL,2,"['tid', 'al']","[['tid', '1'], ['al', '0']]",tid-diddly-idal
9,TIDBIT,2,"['tid', 'bit']","[['tid', '1'], ['bit', '2']]",tid-diddly-idbit
10,TIDING,2,"['tid', 'ing']","[['tid', '1'], ['ing', '0']]",tid-diddly-iding
11,TIDINGS,2,"['ti', 'dings']","[['ti', '1'], ['dings', '0']]",ti-diddly-idings
12,TIDY,2,"['ti', 'dy']","[['ti', '1'], ['dy', '0']]",ti-diddly-idy
13,TIFFIN,2,"['Tif', 'fin']","[['Tif', '1'], ['fin', '0']]",tif-diddly-iffin
14,TIGER,2,"['ti', 'ger']","[['ti', '1'], ['ger', '0']]",ti-diddly-iger
15,TIGERS,2,"['ti', 'gers']","[['ti', '1'], ['gers', '0']]",ti-diddly-igers
16,TIGHTEN,2,"['tight', 'en']","[['tight', '1'], ['en', '0']]",tight-diddly-ighten
17,TIGHTER,2,"['tight', 'er']","[['tight', '1'], ['er', '0']]",tight-diddly-ighter
18,TIGHTEST,2,"['tight', 'est']","[['tight', '1'], ['est', '0']]",tight-diddly-ightest
19,TIGHTLY,2,"['tight', 'ly']","[['tight', '1'], ['ly', '0']]",tight-diddly-ightly
20,TIGHTNESS,2,"['tight', 'ness']","[['tight', '1'], ['ness', '0']]",tight-diddly-ightness
21,TIGHTROPE,2,"['tight', 'rope']","[['tight', '1'], ['rope', '2']]",tight-diddly-ightrope
22,TIGHTWAD,2,"['tight', 'wad']","[['tight', '1'], ['wad', '2']]",tight-diddly-ightwad
23,TIGON,2,"['ti', 'gon']","[['ti', '1'], ['gon', '0']]",ti-diddly-igon
24,TIGRIS,2,"['Ti', 'gris']","[['Ti', '1'], ['gris', '0']]",ti-diddly-igris
25,TILDEN,2,"['Til', 'den']","[['Til', '1'], ['den', '0']]",til-diddly-ilden
26,TILLER,2,"['till', 'er']","[['till', '1'], ['er', '0']]",till-diddly-iller
27,TILLEY,2,"['til', 'ley']","[['til', '1'], ['ley', '0']]",til-diddly-illey
28,TILLMAN,2,"['till', 'man']","[['till', '1'], ['man', '0']]",till-diddly-illman
29,TILLY,2,"['Til', 'ly']","[['Til', '1'], ['ly', '0']]",til-diddly-illy
30,TILTED,2,"['tilt', 'ed']","[['tilt', '1'], ['ed', '0']]",tilt-diddly-ilted
31,TILTING,2,"['tilt', 'ing']","[['tilt', '1'], ['ing', '0']]",tilt-diddly-ilting
32,TIMBER,2,"['tim', 'ber']","[['tim', '1'], ['ber', '0']]",tim-diddly-imber
33,TIMBRE,2,"['tim', 'bre']","[['tim', '1'], ['bre', '0']]",tim-diddly-imbre
34,TIMELESS,2,"['time', 'less']","[['time', '1'], ['less', '0']]",time-diddly-imeless
35,TIMELINE,2,"['time', 'line']","[['time', '1'], ['line', '0']]",time-diddly-imeline
36,TIMELINES,2,"['time', 'lines']","[['time', '1'], ['lines', '0']]",time-diddly-imelines
37,TIMELY,2,"['time', 'ly']","[['time', '1'], ['ly', '0']]",time-diddly-imely
38,TIMEOUT,2,"['time', 'out']","[['time', '1'], ['out', '2']]",time-diddly-imeout
39,TIMEPIECE,2,"['time', 'piece']","[['time', '1'], ['piece', '2']]",time-diddly-imepiece
40,TIMER,2,"['tim', 'er']","[['tim', '1'], ['er', '0']]",tim-diddly-imer
41,TIMESHARE,2,"['time', 'share']","[['time', '1'], ['share', '2']]",time-diddly-imeshare
42,TIMID,2,"['tim', 'id']","[['tim', '1'], ['id', '0']]",tim-diddly-imid
43,TIMING,2,"['tim', 'ing']","[['tim', '1'], ['ing', '0']]",tim-diddly-iming
44,TIMMER,2,"['tim', 'mer']","[['tim', '1'], ['mer', '0']]",tim-diddly-immer
45,TIMON,2,"['Ti', 'mon']","[['Ti', '1'], ['mon', '0']]",ti-diddly-imon
46,TINCTURE,2,"['tinc', 'ture']","[['tinc', '1'], ['ture', '0']]",tinc-diddly-incture
47,TINDAL,2,"['Tin', 'dal']","[['Tin', '1'], ['dal', '0']]",tin-diddly-indal
48,TINDER,2,"['tin', 'der']","[['tin', '1'], ['der', '0']]",tin-diddly-inder
49,TINGLE,2,"['tin', 'gle']","[['tin', '1'], ['gle', '0']]",tin-diddly-ingle
50,TINKER,2,"['tin', 'ker']","[['tin', '1'], ['ker', '0']]",tin-diddly-inker
51,TINKLE,2,"['tin', 'kle']","[['tin', '1'], ['kle', '0']]",tin-diddly-inkle
52,TINKLED,2,"['tin', 'kled']","[['tin', '1'], ['kled', '0']]",tin-diddly-inkled
53,TINMAN,2,"['tin', 'man']","[['tin', '1'], ['man', '2']]",tin-diddly-inman
54,TINNY,2,"['tin', 'ny']","[['tin', '1'], ['ny', '0']]",tin-diddly-inny
55,TINSEL,2,"['tin', 'sel']","[['tin', '1'], ['sel', '0']]",tin-diddly-insel
56,TINTO,2,"['tin', 'to']","[['tin', '1'], ['to', '0']]",tin-diddly-into
57,TINTYPE,2,"['tin', 'type']","[['tin', '1'], ['type', '2']]",tin-diddly-intype
58,TINY,2,"['ti', 'ny']","[['ti', '1'], ['ny', '0']]",ti-diddly-iny
59,TIPOFF,2,"['tip', 'off']","[['tip', '1'], ['off', '2']]",tip-diddly-ipoff
60,TIPPER,2,"['tip', 'per']","[['tip', '1'], ['per', '0']]",tip-diddly-ipper
61,TIPPET,2,"['tip', 'pet']","[['tip', '1'], ['pet', '0']]",tip-diddly-ippet
62,TIPPING,2,"['tip', 'ping']","[['tip', '1'], ['ping', '0']]",tip-diddly-ipping
63,TIPPLE,2,"['tip', 'ple']","[['tip', '1'], ['ple', '0']]",tip-diddly-ipple
64,TIPPY,2,"['tip', 'py']","[['tip', '1'], ['py', '0']]",tip-diddly-ippy
65,TIPSTER,2,"['tip', 'ster']","[['tip', '1'], ['ster', '0']]",tip-diddly-ipster
66,TIPSY,2,"['tip', 'sy']","[['tip', '1'], ['sy', '0']]",tip-diddly-ipsy
67,TIPTOE,2,"['tip', 'toe']","[['tip', '1'], ['toe', '2']]",tip-diddly-iptoe
68,TIPTOED,2,"['tip', 'toed']","[['tip', '1'], ['toed', '2']]",tip-diddly-iptoed
69,TIRING,2,"['tir', 'ing']","[['tir', '1'], ['ing', '0']]",tir-diddly-iring
70,TIROS,2,"['ti', 'ros']","[['ti', '1'], ['ros', '0']]",ti-diddly-iros
71,TISSUE,2,"['tis', 'sue']","[['tis', '1'], ['sue', '2']]",tis-diddly-issue
