word,num_syllables,syllables,stress_pattern,infixed
TIBET,2,"['Ti', 'bet']","[['Ti', '0'], ['bet', '1']]",Ti-fuckin-bet
TIMOR,2,"['Ti', 'mor']","[['Ti', '0'], ['mor', '1']]",Ti-fuckin-mor
TIRADE,2,"['ti', 'rade']","[['ti', '0'], ['rade', '1']]",ti-fuckin-rade
TODAY,2,"['to', 'day']","[['to', '0'], ['day', '1']]",to-fuckin-day
TODAYS,2,"['to', 'days']","[['to', '0'], ['days', '1']]",to-fuckin-days
TONIGHT,2,"['to', 'night']","[['to', '0'], ['night', '1']]",to-fuckin-night
TONITE,2,"['ton', 'ite']","[['ton', '0'], ['ite', '1']]",ton-fuckin-ite
TONSIL,2,"['ton', 'sil']","[['ton', '2'], ['sil', '0']]",tonsil
TORAN,2,"['to', 'ran']","[['to', '0'], ['ran', '1']]",to-fuckin-ran
TOULOUSE,2,"['Tou', 'louse']","[['Tou', '0'], ['louse', '1']]",Tou-fuckin-louse
TOUPEE,2,"['tou', 'pee']","[['tou', '2'], ['pee', '1']]",tou-fuckin-pee
TOWARD,2,"['to', 'ward']","[['to', '0'], ['ward', '1']]",to-fuckin-ward
TOWARDS,2,"['to', 'wards']","[['to', '0'], ['wards', '1']]",to-fuckin-wards
TRANSACT,2,"['trans', 'act']","[['trans', '0'], ['act', '1']]",trans-fuckin-act
TRANSCEND,2,"['tran', 'scend']","[['tran', '0'], ['scend', '1']]",tran-fuckin-scend
TRANSCRIBE,2,"['tran', 'scribe']","[['tran', '0'], ['scribe', '1']]",tran-fuckin-scribe
TRANSCRIBED,2,"['tran', 'scribed']","[['tran', '0'], ['scribed', '1']]",tran-fuckin-scribed
TRANSFER,2,"['trans', 'fer']","[['trans', '0'], ['fer', '1']]",trans-fuckin-fer
TRANSFERRED,2,"['trans', 'ferred']","[['trans', '0'], ['ferred', '1']]",trans-fuckin-ferred
TRANSFIX,2,"['trans', 'fix']","[['trans', '0'], ['fix', '1']]",trans-fuckin-fix
TRANSFIXED,2,"['trans', 'fixed']","[['trans', '0'], ['fixed', '1']]",trans-fuckin-fixed
TRANSFORM,2,"['trans', 'form']","[['trans', '0'], ['form', '1']]",trans-fuckin-form
TRANSFUSE,2,"['trans', 'fuse']","[['trans', '0'], ['fuse', '1']]",trans-fuckin-fuse
