,word,num_syllables,syllables,stress_pattern,infixed
0,TIBER,2,"['Ti', 'ber']","[['Ti', '1'], ['ber', '0']]",T-iz-iber
1,TIBET,2,"['Ti', 'bet']","[['Ti', '0'], ['bet', '1']]",Tib-iz-et
4,TIC,1,['tic'],"[['tic', '1']]",t-iz-ic
5,TICE,1,['tice'],"[['tice', '1']]",t-iz-ice
6,TICK,1,['tick'],"[['tick', '1']]",t-iz-ick
7,TICKED,1,['ticked'],"[['ticked', '1']]",t-iz-icked
8,TICKER,2,"['tick', 'er']","[['tick', '1'], ['er', '0']]",t-iz-icker
9,TICKET,2,"['tick', 'et']","[['tick', '1'], ['et', '0']]",t-iz-icket
13,TICKETS,2,"['tick', 'ets']","[['tick', '1'], ['ets', '0']]",t-iz-ickets
14,TICKING,2,"['tick', 'ing']","[['tick', '1'], ['ing', '0']]",t-iz-icking
15,TICKLE,2,"['tick', 'le']","[['tick', '1'], ['le', '0']]",t-iz-ickle
16,TICKLED,2,"['tick', 'led']","[['tick', '1'], ['led', '0']]",t-iz-ickled
17,TICKNOR,2,"['Tick', 'nor']","[['Tick', '1'], ['nor', '0']]",T-iz-icknor
18,TICKS,1,['ticks'],"[['ticks', '1']]",t-iz-icks
20,TICS,1,['tics'],"[['tics', '1']]",t-iz-ics
21,TIDAL,2,"['tid', 'al']","[['tid', '1'], ['al', '0']]",t-iz-idal
22,TIDBIT,2,"['tid', 'bit']","[['tid', '1'], ['bit', '2']]",t-iz-idbit
24,TIDE,1,['tide'],"[['tide', '1']]",t-iz-ide
25,TIDES,1,['tides'],"[['tides', '1']]",t-iz-ides
27,TIDING,2,"['tid', 'ing']","[['tid', '1'], ['ing', '0']]",t-iz-iding
28,TIDINGS,2,"['ti', 'dings']","[['ti', '1'], ['dings', '0']]",t-iz-idings
29,TIDY,2,"['ti', 'dy']","[['ti', '1'], ['dy', '0']]",t-iz-idy
30,TIE,1,['tie'],"[['tie', '1']]",t-iz-ie
31,TIED,1,['tied'],"[['tied', '1']]",t-iz-ied
32,TIER,1,['tier'],"[['tier', '1']]",t-iz-ier
33,TIERCE,1,['tierce'],"[['tierce', '1']]",t-iz-ierce
34,TIERED,1,['tiered'],"[['tiered', '1']]",t-iz-iered
35,TIERS,1,['tiers'],"[['tiers', '1']]",t-iz-iers
36,TIES,1,['ties'],"[['ties', '1']]",t-iz-ies
37,TIFF,1,['tiff'],"[['tiff', '1']]",t-iz-iff
39,TIFFIN,2,"['Tif', 'fin']","[['Tif', '1'], ['fin', '0']]",T-iz-iffin
40,TIFT,1,['tift'],"[['tift', '1']]",t-iz-ift
41,TIG,1,['tig'],"[['tig', '1']]",t-iz-ig
