welcome,wel-diddly-elcome
action,ac-diddly-action
murder,mur-diddly-urder
order,or-diddly-order
winter,win-diddly-inter
captain,cap-diddly-aptain
maple,map-diddly-aple
panther,pan-diddly-anther
pilot,pi-diddly-ilot
serpent,serp-diddly-erpent
anaconda,ana-diddly-conda
jump,jum-diddly-ump
absinth,ab-diddly-absinth
actress,ac-diddly-actress
advent,ad-diddly-advent
ageless,age-diddly-ageless
almond,al-diddly-almond
bacon,ba-diddly-acon
baggage,bag-diddly-aggage
balding,bal-diddly-alding
bandit,ban-diddly-andit
baptism,bap-diddly-aptism
basement,base-diddly-asement
bastion,bas-diddly-astion
bedding,bed-diddly-edding
Belgium,Bel-diddly-elgium
bingo,bin-diddly-ingo
blabber,blab-diddly-abber
blower,blow-diddly-ower
cartoon,car-diddly-artoon
centaur,cen-diddly-entaur
chalice,chal-diddly-alice
charcoal,char-diddly-arcoal
checkers,check-diddly-eckers
chilly,chill-diddly-illy
circuit,circ-diddly-ircuit
classy,class-diddly-assy
cloister,cloi-diddly-oister
cobalt,co-diddly-obalt
diddle,did-diddly-iddle
diphthong,diph-diddly-iphthong
discourse,dis-diddly-iscourse
dormant,dor-diddly-ormant
donut,do-diddly-onut
farmer,far-diddly-armer
fathom,fath-diddly-athom
feline,fe-diddly-eline
fuedal,fue-diddly-uedal
fiction,fic-diddly-iction
finance,fin-diddly-inance
fishy,fish-diddly-ishy
flautist,flau-diddly-autist
flaxen,flax-diddly-axen
flower,flow-diddly-ower
focus,fo-diddly-ocus
folder,fol-diddly-older
gadget,gad-diddly-adget
gamble,gam-diddly-amble
gangster,gang-diddly-angster
gargoyle,gar-diddly-argoyle
gender,gen-diddly-ender
glorious,glo-diddly-orious
gopher,go-diddly-opher
gradient,gra-diddly-adient
grandma,gran-diddly-andma
gumbo,gum-diddly-umbo
gymnast,gym-diddly-ymnast
haggard,hag-diddly-aggard
hacker,hack-diddly-acker
howdy,how-diddly-owdy
hamster,ham-diddly-amster
haven,ha-diddly-aven
heater,he-diddly-eater
hellish,hell-diddly-ellish
hermit,her-diddly-ermit
hoarder,hoar-diddly-oarder
hobo,ho-diddly-obo
hobnob,hob-diddly-obnob
hustle,hus-diddly-ustle
jaguar,jag-diddly-aguar
jaded,ja-diddly-aded
jacket,jac-diddly-acket
jelly,jel-diddly-elly
jovial,jo-diddly-ovial
justice,jus-diddly-ustice
kernel,ker-diddly-ernal
kiwi,ki-diddly-iwi
knightly,kni-diddly-ightly
knuckle,knuc-diddly-uckle
naked,na-diddly-aked
native,na-diddly-ative
namely,na-diddly-amely
nectar,nec-diddly-ectar
neutron,neu-diddly-eutron
noggin,nog-diddly-oggin
noodle,noo-diddly-oodle
noted,no-diddly-oted
tycoon,ty-diddly-ycoon
vapor,va-diddly-apor
vanish,van-diddly-anish
