ahead,ah-iz-ead
ball,b-iz-all
bank,b-iz-ank
bar,b-iz-ar
bark,b-iz-ark
behave,beh-iz-ave
behind,beh-iz-ind
beyond,bey-iz-ond
bitch,b-izn-itch
black,bl-iz-ack
blame,bl-iz-ame
check,ch-iz-eck
clown,cl-iz-own
coast,c-iz-oast
curb,c-iz-urb
damn,d-iz-amn
dollar,d-iz-ollar
double,d-iz-ouble
down,d-iz-own
dream,dr-iz-eam
dutch,d-iz-utch
effect,eff-iz-ect
exchange,exch-iz-ange
grind,gr-iz-ind
herb,h-iz-erb
home,h-iz-ome
house,h-iz-ouse
lay,l-iz-ay
mine,m-iz-ine
play,pl-iz-ay
shit,sh-izn-it
slang,sl-iz-ang
soldiers,s-iz-oldiers
stars,st-iz-ars
straw,str-iz-aw
strong,str-iz-ong
surprise,surpr-iz-ise
syrup,s-iz-yrup
throne,thr-iz-one
town,t-iz-own
weddings,w-iz-eddings
work,w-iz-ork
bats,b-iz-ats
ablaze,abl-iz-aze
above,ab-iz-ove
absinth,abs-iz-inth
abstract,abstr-iz-act
account,acc-iz-ount
admire,adm-iz-ire
noon,n-iz-oon
alert,al-iz-ert
Algeria,Alg-iz-eria
aroma,ar-iz-oma
brain,br-iz-ain
cocaine,coc-iz-aine
coexist,coex-iz-ist
coincide,coinc-iz-ide
collage,coll-iz-age
combust,comb-iz-ust
comedy,com-iz-edy
conch,c-iz-onch
coral,cor-iz-al
corn,c-iz-orn
Cornish,corn-iz-ish
dew,d-iz-ew
disc,d-iz-isc
direct,dir-iz-ect
discord,disc-iz-ord
doll,d-iz-oll
donate,don-iz-ate
exceed,exc-iz-eed
extinct,ext-iz-inct
exude,ex-iz-ude
feather,f-iz-eather
finance,fin-iz-ance
gelatin,gel-iz-atin
goatee,goat-iz-ee
gorilla,gor-izn-illa
imprint,impr-iz-int
inhale,inh-iz-ale
insane,ins-iz-ane
item,it-iz-em
lake,l-iz-ake
lamb,l-iz-amb
lagoon,lag-iz-oon
land,l-iz-and
lapel,lap-iz-el
Mars,M-iz-ars
melt,m-iz-elt
melon,m-iz-elon
meringue,mer-iz-ingue
militia,mil-iz-itia
Nepal,Nep-iz-al
nomad,nom-iz-ad
oboe,ob-iz-oe
offal,off-iz-al
orange,or-iz-ange
palmetto,palm-iz-etto
pan,p-iz-an
papoose,pap-iz-oose
