word,num_syllables,syllables,stress_pattern
TIBER,2,"['Ti', 'ber']","[['Ti', '1'], ['ber', '0']]"
TIBET,2,"['Ti', 'bet']","[['Ti', '0'], ['bet', '1']]"
TIBETAN,3,"['Ti', 'bet', 'an']","[['Ti', '0'], ['bet', '1'], ['an', '0']]"
TIBIA,3,"['tib', 'i', 'a']","[['tib', '1'], ['i', '0'], ['a', '0']]"
TIC,1,['tic'],"[['tic', '1']]"
TICE,1,['tice'],"[['tice', '1']]"
TICK,1,['tick'],"[['tick', '1']]"
TICKED,1,['ticked'],"[['ticked', '1']]"
TICKER,2,"['tick', 'er']","[['tick', '1'], ['er', '0']]"
TICKET,2,"['tick', 'et']","[['tick', '1'], ['et', '0']]"
TICKETED,3,"['tick', 'et', 'ed']","[['tick', '1'], ['et', '0'], ['ed', '0']]"
TICKETING,3,"['tick', 'et', 'ing']","[['tick', '1'], ['et', '0'], ['ing', '0']]"
TICKETLESS,3,"['tick', 'et', 'less']","[['tick', '1'], ['et', '0'], ['less', '0']]"
TICKETS,2,"['tick', 'ets']","[['tick', '1'], ['ets', '0']]"
TICKING,2,"['tick', 'ing']","[['tick', '1'], ['ing', '0']]"
TICKLE,2,"['tick', 'le']","[['tick', '1'], ['le', '0']]"
TICKLED,2,"['tick', 'led']","[['tick', '1'], ['led', '0']]"
TICKNOR,2,"['Tick', 'nor']","[['Tick', '1'], ['nor', '0']]"
TICKS,1,['ticks'],"[['ticks', '1']]"
TICONDEROGA,5,"['Ti', 'con', 'der', 'o', 'ga']","[['Ti', '0'], ['con', '2'], ['der', '0'], ['o', '1'], ['ga', '0']]"
TICS,1,['tics'],"[['tics', '1']]"
TIDAL,2,"['tid', 'al']","[['tid', '1'], ['al', '0']]"
TIDBIT,2,"['tid', 'bit']","[['tid', '1'], ['bit', '2']]"
TIDDLYWINKS,3,"['tid', 'dly', 'winks']","[['tid', '1'], ['dly', '0'], ['winks', '0']]"
TIDE,1,['tide'],"[['tide', '1']]"
TIDES,1,['tides'],"[['tides', '1']]"
TIDEWATER,3,"['tide', 'wa', 'ter']","[['tide', '1'], ['wa', '2'], ['ter', '0']]"
TIDING,2,"['tid', 'ing']","[['tid', '1'], ['ing', '0']]"
TIDINGS,2,"['ti', 'dings']","[['ti', '1'], ['dings', '0']]"
TIDY,2,"['ti', 'dy']","[['ti', '1'], ['dy', '0']]"
TIE,1,['tie'],"[['tie', '1']]"
TIED,1,['tied'],"[['tied', '1']]"
TIER,1,['tier'],"[['tier', '1']]"
TIERCE,1,['tierce'],"[['tierce', '1']]"
TIERED,1,['tiered'],"[['tiered', '1']]"
TIERS,1,['tiers'],"[['tiers', '1']]"
TIES,1,['ties'],"[['ties', '1']]"
TIFF,1,['tiff'],"[['tiff', '1']]"
TIFFANY,3,"['Tif', 'fa', 'ny']","[['Tif', '1'], ['fa', '0'], ['ny', '0']]"
TIFFIN,2,"['Tif', 'fin']","[['Tif', '1'], ['fin', '0']]"
